,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt
0,0,2021-08-23,20:45,Serie A,Matchweek 1,Mon,Away,W,1,0,Sampdoria,1.2,1.6,50.0,5000.0,Davide Calabria,4-2-3-1,Marco Guida,Match Report,,11.0,4.0,19.7,0.0,0,0
1,1,2021-08-29,20:45,Serie A,Matchweek 2,Sun,Home,W,4,1,Cagliari,2.9,0.7,57.0,31946.0,Davide Calabria,4-2-3-1,Marco Serra,Match Report,,17.0,4.0,19.0,1.0,1,1
2,2,2021-09-12,18:00,Serie A,Matchweek 3,Sun,Home,W,2,0,Lazio,3.0,0.3,47.0,36207.0,Alessio Romagnoli,4-2-3-1,Daniele Chiffi,Match Report,,18.0,3.0,20.0,0.0,0,1
3,3,2021-09-15,20:00,Champions Lg,Group stage,Wed,Away,L,2,3,eng Liverpool,1.6,2.5,40.0,51445.0,Davide Calabria,4-2-3-1,Szymon Marciniak,Match Report,,7.0,3.0,13.4,0.0,0,0
4,4,2021-09-19,20:45,Serie A,Matchweek 4,Sun,Away,D,1,1,Juventus,1.0,1.2,56.0,18785.0,Alessio Romagnoli,4-2-3-1,Daniele Doveri,Match Report,,13.0,3.0,23.0,1.0,0,0
5,5,2021-09-22,20:45,Serie A,Matchweek 5,Wed,Home,W,2,0,Venezia,1.8,1.0,66.0,26185.0,Alessio Romagnoli,4-2-3-1,Ivan Pezzuto,Match Report,,14.0,4.0,17.6,2.0,0,0
6,6,2021-09-25,15:00,Serie A,Matchweek 6,Sat,Away,W,2,1,Spezia,1.6,1.1,63.0,3618.0,Alessio Romagnoli,4-2-3-1,Gianluca Manganiello,Match Report,,18.0,5.0,18.0,1.0,0,0
7,7,2021-09-28,21:00,Champions Lg,Group stage,Tue,Home,L,1,2,es Atlético Madrid,0.7,2.1,36.0,35374.0,Alessio Romagnoli,4-2-3-1,Cüneyt Çakιr,Match Report,,7.0,3.0,24.4,0.0,0,0
8,8,2021-10-03,20:45,Serie A,Matchweek 7,Sun,Away,W,3,2,Atalanta,2.5,2.3,44.0,9363.0,Davide Calabria,4-2-3-1,Marco Di Bello,Match Report,,13.0,7.0,17.3,0.0,0,0
9,9,2021-10-16,20:45,Serie A,Matchweek 8,Sat,Home,W,3,2,Hellas Verona,1.9,1.8,54.0,40128.0,Alessio Romagnoli,4-2-3-1,Alessandro Prontera,Match Report,,16.0,3.0,20.9,0.0,1,1
10,10,2021-10-19,20:00,Champions Lg,Group stage,Tue,Away,L,0,1,pt Porto,0.2,1.1,48.0,32130.0,Davide Calabria,4-2-3-1,Felix Brych,Match Report,,4.0,1.0,26.6,2.0,0,0
11,11,2021-10-23,20:45,Serie A,Matchweek 9,Sat,Away,W,4,2,Bologna,1.2,0.8,63.0,22167.0,Davide Calabria,4-2-3-1,Paolo Valeri,Match Report,,15.0,7.0,18.6,1.0,0,0
12,12,2021-10-26,20:45,Serie A,Matchweek 10,Tue,Home,W,1,0,Torino,0.9,0.7,45.0,35929.0,Alessio Romagnoli,4-2-3-1,Gianluca Aureliano,Match Report,,10.0,2.0,21.2,0.0,0,0
13,13,2021-10-31,20:45,Serie A,Matchweek 11,Sun,Away,W,2,1,Roma,1.9,1.7,50.0,51001.0,Davide Calabria,4-2-3-1,Fabio Maresca,Match Report,,7.0,2.0,19.9,2.0,1,1
14,14,2021-11-03,18:45,Champions Lg,Group stage,Wed,Home,D,1,1,pt Porto,0.6,1.8,52.0,39675.0,Alessio Romagnoli,4-2-3-1,Clément Turpin,Match Report,,8.0,2.0,17.9,2.0,0,0
15,15,2021-11-07,20:45,Serie A,Matchweek 12,Sun,Home,D,1,1,Inter,1.2,2.7,50.0,56608.0,Simon Kjær,4-2-3-1,Daniele Doveri,Match Report,,16.0,4.0,18.9,1.0,0,0
16,16,2021-11-20,20:45,Serie A,Matchweek 13,Sat,Away,L,3,4,Fiorentina,2.2,1.3,55.0,32567.0,Franck Kessié,4-2-3-1,Marco Guida,Match Report,,17.0,7.0,15.6,0.0,0,0
17,17,2021-11-24,21:00,Champions Lg,Group stage,Wed,Away,W,1,0,es Atlético Madrid,1.3,0.9,57.0,61019.0,Alessio Romagnoli,4-2-3-1,Slavko Vinčič,Match Report,,14.0,4.0,18.7,0.0,0,0
18,18,2021-11-28,15:00,Serie A,Matchweek 14,Sun,Home,L,1,3,Sassuolo,1.1,1.5,50.0,52824.0,Alessio Romagnoli,4-2-3-1,Gianluca Manganiello,Match Report,,15.0,2.0,17.3,0.0,0,0
