,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,PK,PKatt
0,2015-08-08,20:00,Supercoppa Italiana,Supercoppa Italiana,Sat,Home,W,2,0,Lazio,,20000,Gianluigi Buffon,,Luca Banti,Match Report,,,,,0,0
1,2015-08-23,18:00,Serie A,Matchweek 1,Sun,Home,L,0,1,Udinese,66.0,38433,Gianluigi Buffon,3-5-2,Paolo Mazzoleni,Match Report,,21.0,5.0,,0,0
2,2015-08-30,18:00,Serie A,Matchweek 2,Sun,Away,L,1,2,Roma,37.0,56040,Gianluigi Buffon,3-5-2,Nicola Rizzoli,Match Report,,10.0,2.0,,0,0
3,2015-09-12,20:45,Serie A,Matchweek 3,Sat,Home,D,1,1,Chievo,69.0,29250,Gianluigi Buffon,4-3-1-2,Marco Guida,Match Report,,26.0,7.0,,1,1
4,2015-09-15,19:45,Champions Lg,Group stage,Tue,Away,W,2,1,eng Manchester City,44.0,50363,Leonardo Bonucci,4-3-3,Damir Skomina,Match Report,,10.0,3.0,,0,0
5,2015-09-20,15:00,Serie A,Matchweek 4,Sun,Away,W,2,0,Genoa,50.0,25115,Gianluigi Buffon,4-3-3,Paolo Valeri,Match Report,,13.0,4.0,,1,1
6,2015-09-23,20:45,Serie A,Matchweek 5,Wed,Home,D,1,1,Frosinone,69.0,35973,Leonardo Bonucci,4-3-3,Angelo Cervellera,Match Report,,36.0,7.0,,0,0
7,2015-09-26,20:45,Serie A,Matchweek 6,Sat,Away,L,1,2,Napoli,46.0,40311,Gianluigi Buffon,4-3-1-2,Daniele Orsato,Match Report,,12.0,3.0,,0,0
8,2015-09-30,20:45,Champions Lg,Group stage,Wed,Home,W,2,0,es Sevilla,53.0,36499,Gianluigi Buffon,3-5-2,Jonas Eriksson,Match Report,,20.0,6.0,,0,0
9,2015-10-04,18:00,Serie A,Matchweek 7,Sun,Home,W,3,1,Bologna,66.0,39330,Gianluigi Buffon,4-3-3,Domenico Celi,Match Report,,19.0,8.0,,1,1
10,2015-10-18,20:45,Serie A,Matchweek 8,Sun,Away,D,0,0,Inter,54.0,79154,Gianluigi Buffon,3-5-2,Paolo Valeri,Match Report,,15.0,4.0,,0,0
11,2015-10-21,20:45,Champions Lg,Group stage,Wed,Home,D,0,0,de M'Gladbach,55.0,40940,Gianluigi Buffon,4-3-3,Craig Thomson,Match Report,,22.0,2.0,,0,0
12,2015-10-25,15:00,Serie A,Matchweek 9,Sun,Home,W,2,0,Atalanta,70.0,38720,Gianluigi Buffon,4-3-1-2,Marco Di Bello,Match Report,,19.0,10.0,,0,1
13,2015-10-28,20:45,Serie A,Matchweek 10,Wed,Away,L,0,1,Sassuolo,63.0,26880,Gianluigi Buffon,4-4-2,Andrea Gervasoni,Match Report,,14.0,3.0,,0,0
